time,step,game,eps,max_step,max_tile,max_sum,max_rew,mean_step,mean_tile,mean_sum,mean_rew,max_100_step,max_100_tile,max_100_sum,max_100_rew,mean_100_step,mean_100_tile,mean_100_sum,mean_100_rew
2019-02-12_18:16:44.526115,2500,4,0,830.0,1024.0,1822.0,102.0,516.0,576.0,1141.5,62.75,830.0,1024.0,1822.0,102.0,516.0,576.0,1141.5,62.75
2019-02-12_18:16:50.259611,5000,9,0,830.0,1024.0,1822.0,102.0,508.6666666666667,540.4444444444445,1124.888888888889,61.833333333333336,830.0,1024.0,1822.0,102.0,508.6666666666667,540.4444444444445,1124.888888888889,61.833333333333336
2019-02-12_18:16:55.597728,7500,14,0,850.0,1024.0,1896.0,104.5,531.0,566.8571428571429,1177.5714285714287,64.625,850.0,1024.0,1896.0,104.5,531.0,566.8571428571429,1177.5714285714287,64.625
2019-02-12_18:16:59.941963,10000,17,0,850.0,1024.0,1896.0,104.5,565.1176470588235,617.4117647058823,1250.8235294117646,68.88970588235294,850.0,1024.0,1896.0,104.5,565.1176470588235,617.4117647058823,1250.8235294117646,68.88970588235294
2019-02-12_18:17:04.859608,12500,23,0,850.0,1024.0,1896.0,104.5,541.0,589.9130434782609,1195.4782608695652,65.875,850.0,1024.0,1896.0,104.5,541.0,589.9130434782609,1195.4782608695652,65.875
2019-02-12_18:17:09.720607,15000,29,0,850.0,1024.0,1896.0,104.5,501.3103448275862,534.0689655172414,1108.0,60.91379310344828,850.0,1024.0,1896.0,104.5,501.3103448275862,534.0689655172414,1108.0,60.91379310344828
2019-02-12_18:17:14.770979,17500,33,0,962.0,1024.0,2136.0,118.5,522.4242424242424,570.1818181818181,1155.7575757575758,63.553030303030305,962.0,1024.0,2136.0,118.5,522.4242424242424,570.1818181818181,1155.7575757575758,63.553030303030305
2019-02-12_18:17:20.138357,20000,39,0,962.0,1024.0,2136.0,118.5,500.7692307692308,536.6153846153846,1106.923076923077,60.84615384615385,962.0,1024.0,2136.0,118.5,500.7692307692308,536.6153846153846,1106.923076923077,60.84615384615385
2019-02-12_18:17:24.600224,22500,43,0,962.0,1024.0,2136.0,118.5,509.2325581395349,549.2093023255813,1124.7441860465117,61.90406976744186,962.0,1024.0,2136.0,118.5,509.2325581395349,549.2093023255813,1124.7441860465117,61.90406976744186
2019-02-12_18:17:28.932010,25000,50,0,962.0,1024.0,2136.0,118.5,497.96,523.52,1098.8,60.495,962.0,1024.0,2136.0,118.5,497.96,523.52,1098.8,60.495
